"123.300","1.120","34.093746","14.069796","0.809222","1078.364624","51374.722656","52781.238281","0.049318","0.024469","0.014609","0.166230","0.117423","-0.338281","0.000000","4491.918457","7.243031","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-6.276565","0.000000","43.681023","27.931215","0.000000","0.964205","0.000000","0.000000","0.000000","93.998604","39.281036","-273.000000","-273.000000","0.999863","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","2968.964355","6373.703613","4.000000","24.000000","-273.000000","-273.000000","8.308845","0.000000","25.235580","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","14.000001","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1.800000","11.000000","0.000000","0.000000","8.755001","178.923660","-0.022096","356.000000","2.130000","0.430000","522.000000","40.845552033355","-96.771533773624","356.83"
"123.400","1.120","34.093746","14.070107","0.861221","1078.364746","51437.019531","52718.515625","-0.222407","0.061470","-0.136271","0.126191","0.275159","-0.189935","0.000000","4467.408691","7.009385","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-6.249863","0.000000","43.967010","29.996960","0.000000","0.967637","0.000000","0.000000","0.000000","93.998604","39.281036","-273.000000","-273.000000","0.999863","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","3063.246094","6377.666504","4.000000","24.000000","-273.000000","-273.000000","8.207373","0.000000","25.818560","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","13.908356","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1.600000","11.000000","0.000000","0.000000","8.755001","178.923660","-0.022096","357.000000","2.130000","0.430000","522.000000","40.845551635508","-96.771533807052","357.11"
"123.500","1.120","34.093746","14.070419","1.396070","1078.727539","51374.722656","52718.515625","-0.345883","-0.148050","0.024702","-0.077085","0.123995","-0.267756","0.000000","4437.543457","6.133212","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-6.273249","0.000000","43.612041","26.927891","0.000000","0.968125","0.000000","0.000000","0.000000","93.998604","39.281036","-273.000000","-273.000000","0.999863","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","3156.155029","6380.665527","4.000000","24.000000","-273.000000","-273.000000","8.207373","0.000000","26.044230","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","13.987397","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1.400000","11.000000","0.000000","0.000000","8.755001","178.923660","-0.022096","357.000000","2.130000","0.430000","522.000000","40.845551274693","-96.771533844562","357.43"
"123.600","1.120","34.093746","14.070731","1.314357","1078.183960","51374.722656","52718.515625","-0.117608","-0.200833","-0.001554","0.056379","0.189249","-0.294507","0.000000","4418.388672","5.743801","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-6.161379","0.000000","43.299702","28.195856","0.000000","0.963859","0.000000","0.000000","0.000000","93.998604","39.281036","-273.000000","-273.000000","0.999863","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","3249.063965","6384.735352","4.000000","24.000000","-273.000000","-273.000000","8.182744","0.000000","26.307510","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","14.000001","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1.300000","11.000000","0.000000","0.000000","8.755001","178.923660","-0.022096","357.000000","2.130000","0.400000","528.000000","40.845550947240","-96.771533882448","357.74"
"123.700","1.120","34.093746","14.071043","1.158359","1078.364502","51374.722656","52718.515625","-0.056519","-0.098639","-0.171303","-0.014460","0.092072","-0.292075","0.000000","4417.152832","5.047730","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-6.230142","0.000000","43.867805","29.310947","0.000000","0.963859","0.000000","0.000000","0.000000","93.998604","39.281036","-273.000000","-273.000000","0.999863","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","3341.972656","6388.698242","4.000000","24.000000","-273.000000","-273.000000","8.194566","0.000000","26.365719","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","14.000001","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1.200000","11.000000","0.000000","0.000000","8.755001","178.923660","-0.022096","358.000000","2.130000","0.370000","535.000000","40.845550654120","-96.771533917335","358.02"
"123.800","1.120","34.093746","14.071355","0.920649","1078.364624","51374.722656","52781.238281","0.167995","0.180604","-0.004187","0.048166","0.127281","-0.287211","0.000000","4420.860352","4.896834","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-6.145323","0.000000","42.973412","28.809927","0.000000","0.966662","0.000000","0.000000","0.000000","93.998604","39.281036","-273.000000","-273.000000","0.999863","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","3434.423828","6392.661133","4.000000","24.000000","-273.000000","-273.000000","8.194566","0.000000","26.569000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","14.000001","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1.100000","11.000000","0.000000","0.000000","8.755001","178.923660","-0.022096","358.000000","2.130000","0.380000","532.000000","40.845550396232","-96.771533945659","358.21"
"123.900","1.120","34.093746","14.071667","1.373785","1078.727539","51374.722656","52718.515625","-0.072731","0.197963","-0.021228","0.096418","0.196760","-0.270188","0.000000","4453.814941","4.410071","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-6.131361","0.000000","43.698071","26.723629","0.000000","0.964956","0.000000","0.000000","0.000000","93.998604","39.281036","-273.000000","-273.000000","0.999863","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","3526.417480","6396.730957","4.000000","24.000000","-273.000000","-273.000000","8.194566","0.000000","26.783028","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","13.908356","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.900000","10.000000","0.000000","0.000000","8.755001","178.923660","-0.022096","358.000000","2.130000","0.400000","513.000000","40.845550180474","-96.771533961778","358.27"
"124.000","1.120","34.093746","14.071979","1.893777","1078.364624","51374.722656","52842.968750","-0.074158","0.163099","-0.102409","0.110791","0.154040","-0.236141","0.000000","4435.071777","4.137484","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-6.122810","0.000000","44.055367","29.167065","0.000000","0.966520","0.000000","0.000000","0.000000","93.998604","39.361610","-273.000000","-273.000000","0.999863","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","3619.326172","6400.693848","4.000000","24.000000","-273.000000","-273.000000","8.282245","0.000000","26.174974","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","13.985688","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.800000","10.000000","0.000000","0.000000","8.755001","178.923660","-0.022096","358.000000","2.130000","0.400000","511.000000","40.845550005884","-96.771533957537","358.13"
"124.100","1.120","34.093746","14.070731","1.433213","1077.820923","51374.722656","52843.468750","-0.217997","-0.081671","-0.059990","0.099498","0.100053","-0.228845","0.000000","4457.521973","3.718868","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-6.164870","0.000000","43.880981","28.511885","0.000000","0.960772","0.000000","0.000000","0.000000","93.998604","39.374477","-273.000000","-273.000000","0.999863","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","3714.065918","6404.656738","4.000000","24.000000","-273.000000","-273.000000","8.207373","0.000000","26.044230","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","14.000001","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.700000","11.000000","0.000000","0.000000","8.755001","178.923660","-0.022096","358.000000","2.130000","0.380000","509.000000","40.845549865914","-96.771533936023","358.05"
"124.200","1.120","34.093746","14.069484","1.670923","1077.820923","51437.019531","52719.011719","-0.144716","-0.236973","-0.006381","0.131324","0.054047","-0.151024","0.000000","4469.674316","3.120150","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-6.152479","0.000000","44.200298","28.207418","0.000000","0.956527","0.000000","0.000000","0.000000","93.998604","39.374477","-273.000000","-273.000000","0.999863","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","3807.890137","6408.726563","4.000000","24.000000","-273.000000","-273.000000","8.474351","0.000000","26.720343","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","14.000001","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.600000","11.000000","0.000000","0.000000","8.755001","178.923660","-0.022096","358.000000","2.130000","0.370000","509.000000","40.845549759610","-96.771533900245","358.03"
"124.300","1.120","34.093746","14.068236","1.715494","1077.820923","51374.722656","52843.468750","-0.048088","0.073682","-0.074398","0.078965","0.063905","-0.248301","0.000000","4466.584961","2.521431","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-6.182846","0.000000","43.255527","30.635437","0.000000","0.972410","0.000000","0.000000","0.000000","93.998604","39.374477","-273.000000","-273.000000","0.999863","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","3855.031006","6410.654297","4.000000","24.000000","-273.000000","-273.000000","8.385687","0.000000","26.104229","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","14.000001","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.400000","11.000000","0.000000","0.000000","8.755001","178.923660","-0.022096","358.000000","2.130000","0.360000","507.000000","40.845549685783","-96.771533853450","358.02"
"124.400","1.120","34.093746","14.066989","1.886349","1077.820923","51405.871094","52780.742188","-0.217608","-0.044460","0.013877","0.176497","0.022593","-0.377192","0.000000","4541.762207","2.132021","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-6.251608","0.000000","43.199726","27.649872","0.000000","0.962885","0.000000","0.000000","0.000000","93.998604","39.374477","-273.000000","-273.000000","0.999863","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","3950.228271","6414.724121","4.000000","24.000000","-273.000000","-273.000000","8.397509","0.000000","25.626921","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","14.000001","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.200000","11.000000","0.000000","0.000000","8.755001","178.923660","-0.022096","358.000000","2.130000","0.330000","493.000000","40.845549647586","-96.771533796277","358.01"
"124.500","1.120","34.093746","14.065742","2.086917","1077.820923","51374.722656","52812.105469","-0.133172","-0.165061","0.032747","0.186763","0.008040","-0.265324","0.000000","4523.843262","1.820493","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-6.285640","0.000000","43.102070","29.055298","0.000000","0.964591","0.000000","0.000000","0.000000","94.061104","39.281036","-273.000000","-273.000000","0.999863","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","4044.052490","6417.723145","4.000000","24.000000","-273.000000","-273.000000","8.296038","0.000000","25.296476","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","14.000001","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","11.000000","0.000000","0.000000","8.755001","178.923660","-0.022096","358.000000","2.120000","0.320000","492.000000","40.845549641098","-96.771533730213","358.01"
"124.600","1.120","34.093746","14.064495","2.086917","1077.820923","51468.171875","52781.238281","0.117671","0.218164","-0.020789","0.052272","0.119770","-0.355304","0.000000","4478.324707","1.508965","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-6.203963","0.000000","44.190994","28.245958","0.000000","0.961158","0.000000","0.000000","0.000000","94.061104","39.281036","-273.000000","-273.000000","0.999863","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","4137.876465","6421.686035","4.000000","24.000000","-273.000000","-273.000000","8.194566","0.000000","26.125721","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","14.000001","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","11.000000","0.000000","0.000000","8.755001","178.923660","-0.022096","358.000000","2.120000","0.300000","472.000000","40.845549658400","-96.771533658747","358.01"
"124.700","1.120","34.093746","14.063248","2.592053","1077.820923","51437.484375","52812.105469","0.032587","0.192678","0.043059","0.020446","0.279854","-0.275051","0.000000","4457.934082","1.299657","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-6.230316","0.000000","43.543068","27.787333","0.000000","0.962641","0.000000","0.000000","0.000000","93.998604","39.374477","-273.000000","-273.000000","0.999863","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","4231.243164","6425.755859","4.000000","24.000000","-273.000000","-273.000000","8.194566","0.000000","26.164228","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","14.000001","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","11.000000","0.000000","0.000000","8.755001","178.923660","-0.022096","358.000000","2.110000","0.280000","453.000000","40.845549697087","-96.771533583411","358.02"
"124.800","1.120","34.093746","14.062000","2.985761","1077.820923","51374.722656","52781.238281","-0.155740","-0.037855","0.073410","0.037899","0.170941","-0.313962","0.000000","4435.483887","0.944320","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-6.164870","0.000000","44.141392","30.563498","0.000000","0.968389","0.000000","0.000000","0.000000","93.998604","39.374477","-273.000000","-273.000000","0.999863","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","4325.067383","6429.718750","4.000000","24.000000","-273.000000","-273.000000","8.194566","0.000000","26.056767","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","14.000001","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.100000","11.000000","0.000000","0.000000","8.755001","178.923660","-0.022096","358.000000","2.110000","0.280000","451.000000","40.845549754088","-96.771533505857","358.03"
"124.900","1.120","34.093746","14.060753","2.933762","1078.364746","51437.484375","52749.878906","-0.033821","-0.203687","0.146107","0.116951","0.074233","-0.323690","0.000000","4421.890137","0.798291","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-6.219845","0.000000","43.159424","27.756500","0.000000","0.966784","0.000000","0.000000","0.000000","93.998604","39.374477","-273.000000","-273.000000","0.999863","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","4417.976074","6433.681641","4.000000","24.000000","-273.000000","-273.000000","8.194566","0.000000","26.271690","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","14.000001","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.200000","11.000000","0.000000","0.000000","8.755001","178.923660","-0.022096","358.000000","2.110000","0.250000","438.000000","40.845549825529","-96.771533428593","358.04"
"125.000","1.120","34.093746","14.059505","3.074903","1078.183838","51406.335938","52749.878906","0.098216","0.007569","-0.035855","0.067672","0.151693","-0.279915","0.000000","4417.976563","0.423484","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-6.161379","0.000000","44.259975","27.831011","0.000000","0.964205","0.000000","0.000000","0.000000","93.998604","39.374477","-273.000000","-273.000000","0.999863","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","4511.342773","6437.751465","4.000000","24.000000","-273.000000","-273.000000","8.194566","0.000000","25.926022","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","14.000001","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.150000","11.000000","0.000000","0.000000","8.755001","178.923660","-0.022096","358.000000","2.110000","0.250000","437.000000","40.845549898783","-96.771533354984","358.06"
"125.100","1.120","34.093746","14.058725","2.413770","1077.820923","51437.019531","52781.238281","0.277074","0.156547","-0.091438","-0.048339","0.041841","-0.187503","0.000000","4407.884277","0.121691","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-6.175516","0.000000","43.481838","27.127014","0.000000","0.966439","0.000000","0.000000","0.000000","94.061104","39.374477","-273.000000","-273.000000","0.999863","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","4603.336426","6441.714355","4.000000","24.000000","-273.000000","-273.000000","8.194566","0.000000","26.354973","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","14.000001","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.100000","11.000000","0.000000","0.000000","8.755001","178.923660","-0.022096","358.000000","2.110000","0.260000","431.000000","40.845549967415","-96.771533288463","358.07"
"125.200","1.120","34.093746","14.057946","2.577196","1077.820923","51437.484375","52749.878906","0.092120","0.251244","-0.046533","-0.084272","0.106625","-0.267756","0.000000","4376.371582","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-6.161379","0.000000","43.091221","27.837435","0.000000","0.964834","0.000000","0.000000","0.000000","94.061104","39.374477","-273.000000","-273.000000","-0.000122","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","4696.245117","6445.677246","4.000000","24.000000","-273.000000","-273.000000","8.194566","0.000000","26.650492","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","14.000001","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.066667","11.000000","0.000000","0.000000","8.755001","178.923660","-0.022096","358.000000","2.100000","0.260000","427.000000","40.845550026887","-96.771533233133","358.09"
"125.300","1.120","34.093746","14.057167","2.837192","1078.364624","51499.785156","52718.515625","0.084986","0.244481","-0.035636","0.008127","0.046535","-0.401511","0.000000","4388.935547","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-6.087207","0.000000","43.820530","29.256990","0.000000","0.965058","0.000000","0.000000","0.000000","94.007332","39.374477","-273.000000","-273.000000","-0.000122","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","4747.962891","6447.926270","4.000000","24.000000","-273.000000","-273.000000","8.182744","0.000000","26.653179","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","14.000001","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.033333","11.000000","0.000000","0.000000","8.755001","178.923660","-0.022096","358.000000","2.100000","0.260000","425.000000","40.845550073617","-96.771533192217","358.10"
"125.400","1.120","34.093746","14.056387","3.505754","1077.820923","51468.636719","52687.152344","-0.113717","0.082596","-0.106212","-0.003167","0.144651","-0.279915","0.000000","4447.429688","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-6.145498","0.000000","43.288082","28.177870","0.000000","0.960183","0.000000","0.000000","0.000000","93.998604","39.374477","-273.000000","-273.000000","-0.000122","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","4834.921875","6450.710938","4.000000","24.000000","-273.000000","-273.000000","8.373865","0.000000","25.523041","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","14.000001","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","11.000000","0.000000","0.000000","8.755001","178.923660","-0.022096","358.000000","2.100000","0.210000","417.000000","40.845550103902","-96.771533168189","358.10"
"125.500","1.120","34.093746","14.055607","4.278314","1077.820923","51499.785156","52749.878906","-0.123834","-0.378731","-0.025031","0.035846","0.216008","-0.316394","0.000000","4470.498047","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-6.224906","0.000000","44.080940","28.780378","0.000000","0.959208","0.000000","0.000000","0.000000","94.053841","39.374477","-273.000000","-273.000000","-0.000122","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","4929.203613","6454.673828","4.000000","24.000000","-273.000000","-273.000000","8.296038","0.000000","25.403936","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","14.000001","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","11.000000","0.000000","0.000000","8.755001","178.923660","-0.022096","358.000000","2.090000","0.200000","417.000000","40.845550117444","-96.771533158367","358.11"
"125.600","1.120","34.093746","14.054828","5.459439","1078.364502","51530.933594","52718.015625","0.144000","-0.060908","0.039987","-0.008300","0.163899","-0.311530","0.000000","4498.303711","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-6.228571","0.000000","44.223549","28.980787","0.000000","0.968023","0.000000","0.000000","0.000000","94.061104","39.374477","-273.000000","-273.000000","-0.000122","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","5023.943359","6458.743652","4.000000","24.000000","-273.000000","-273.000000","8.284215","0.000000","25.248117","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","14.000001","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","11.000000","0.000000","0.000000","8.755001","178.923660","-0.022096","358.000000","2.090000","0.200000","406.000000","40.845550120309","-96.771533157464","358.11"
"125.700","1.120","34.093746","14.054049","6.952560","1078.364502","51499.785156","52655.789063","-0.020072","0.178189","0.029529","0.000940","0.174696","-0.258028","0.000000","4495.625977","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-6.239217","0.000000","43.805801","30.287292","0.000000","0.964834","0.000000","0.000000","0.000000","94.007332","39.374477","-273.000000","-273.000000","-0.000122","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","5118.225098","6462.706543","4.000000","24.000000","-273.000000","-273.000000","8.296038","0.000000","25.365431","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","14.000001","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","11.000000","0.000000","0.000000","8.755001","178.923660","-0.022096","358.000000","2.080000","0.190000","397.000000","40.845550116576","-96.771533162172","358.11"
"125.800","1.120","34.093746","14.053268","10.339939","1077.820923","51530.933594","52655.789063","-0.118127","-0.084698","0.035526","-0.058605","0.088786","-0.309098","0.000000","4479.354492","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-6.235727","0.000000","43.960812","27.883682","0.000000","0.965058","0.000000","0.000000","0.000000","93.998604","39.374477","-273.000000","-273.000000","-0.000122","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","5212.049316","6466.669434","4.000000","24.000000","-273.000000","-273.000000","8.207373","0.000000","25.568712","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","14.000001","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","11.000000","0.000000","0.000000","8.755001","178.923660","-0.022096","358.000000","2.080000","0.190000","395.000000","40.845550110149","-96.771533169284","358.10"
"125.900","1.120","34.093746","14.052488","9.129100","1077.820923","51530.933594","52624.425781","0.064493","-0.102934","0.067413","-0.027806","0.167654","-0.328553","0.000000","4501.599121","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-6.209199","0.000000","43.860054","28.446365","0.000000","0.968856","0.000000","0.000000","0.000000","94.053841","39.374477","-273.000000","-273.000000","-0.000122","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","5304.958496","6470.739258","4.000000","24.000000","-273.000000","-273.000000","8.207373","0.000000","25.853485","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","13.908569","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","11.000000","0.000000","0.000000","8.755001","178.923660","-0.022096","358.000000","2.080000","0.180000","385.000000","40.845550104037","-96.771533175954","358.10"
"126.000","1.120","34.093746","14.051709","2.428627","1077.820923","51562.085938","52624.921875","0.128695","0.182136","0.014901","-0.055525","0.193474","-0.255596","0.000000","4500.569336","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-6.217751","0.000000","43.769375","27.845142","0.000000","0.962885","0.000000","0.000000","0.000000","94.061104","39.374477","-273.000000","-273.000000","-0.000122","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","5399.240234","6474.702148","4.000000","24.000000","-273.000000","-273.000000","8.296038","0.000000","25.700352","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","13.987397","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","11.000000","0.000000","0.000000","8.755001","178.923660","-0.022096","358.000000","2.070000","0.170000","384.000000","40.845550099434","-96.771533179944","358.10"
